"","Opponent","regular_1_position","Player","Away","Home","matchup","Team","regular_1_name","regular_1_min","regular_1_pts","regular_1_fg","regular_1_fg3","regular_1_reb","regular_1_ast","regular_1_game_date","regular_1_matchup","regular_2_name","regular_2_position","regular_2_min","regular_2_pts","regular_2_fg","regular_2_fg3","regular_2_reb","regular_2_ast","regular_2_game_date","regular_2_matchup","regular_3_name","regular_3_position","regular_3_min","regular_3_pts","regular_3_fg","regular_3_fg3","regular_3_reb","regular_3_ast","regular_3_game_date","regular_3_matchup","regular_4_name","regular_4_position","regular_4_min","regular_4_pts","regular_4_fg","regular_4_fg3","regular_4_reb","regular_4_ast","regular_4_game_date","regular_4_matchup","regular_5_name","regular_5_position","regular_5_min","regular_5_pts","regular_5_fg","regular_5_fg3","regular_5_reb","regular_5_ast","regular_5_game_date","regular_5_matchup","regular_6_name","regular_6_position","regular_6_min","regular_6_pts","regular_6_fg","regular_6_fg3","regular_6_reb","regular_6_ast","regular_6_game_date","regular_6_matchup","regular_7_name","regular_7_position","regular_7_min","regular_7_pts","regular_7_fg","regular_7_fg3","regular_7_reb","regular_7_ast","regular_7_game_date","regular_7_matchup","regular_8_name","regular_8_position","regular_8_min","regular_8_pts","regular_8_fg","regular_8_fg3","regular_8_reb","regular_8_ast","regular_8_game_date","regular_8_matchup","regular_9_name","regular_9_position","regular_9_min","regular_9_pts","regular_9_fg","regular_9_fg3","regular_9_reb","regular_9_ast","regular_9_game_date","regular_9_matchup","regular_10_name","regular_10_position","regular_10_min","regular_10_pts","regular_10_fg","regular_10_fg3","regular_10_reb","regular_10_ast","regular_10_game_date","regular_10_matchup","regular_11_name","regular_11_position","regular_11_min","regular_11_pts","regular_11_fg","regular_11_fg3","regular_11_reb","regular_11_ast","regular_11_game_date","regular_11_matchup","regular_12_name","regular_12_position","regular_12_min","regular_12_pts","regular_12_fg","regular_12_fg3","regular_12_reb","regular_12_ast","regular_12_game_date","regular_12_matchup","regular_13_name","regular_13_position","regular_13_min","regular_13_pts","regular_13_fg","regular_13_fg3","regular_13_reb","regular_13_ast","regular_13_game_date","regular_13_matchup","regular_14_name","regular_14_position","regular_14_min","regular_14_pts","regular_14_fg","regular_14_fg3","regular_14_reb","regular_14_ast","regular_14_game_date","regular_14_matchup","regular_15_name","regular_15_position","regular_15_min","regular_15_pts","regular_15_fg","regular_15_fg3","regular_15_reb","regular_15_ast","regular_15_game_date","regular_15_matchup","regular_16_name","regular_16_position","regular_16_min","regular_16_pts","regular_16_fg","regular_16_fg3","regular_16_reb","regular_16_ast","regular_16_game_date","regular_16_matchup","regular_17_name","regular_17_position","regular_17_min","regular_17_pts","regular_17_fg","regular_17_fg3","regular_17_reb","regular_17_ast","regular_17_game_date","regular_17_matchup","regular_18_name","regular_18_position","regular_18_min","regular_18_pts","regular_18_fg","regular_18_fg3","regular_18_reb","regular_18_ast","regular_18_game_date","regular_18_matchup","regular_19_name","regular_19_position","regular_19_min","regular_19_pts","regular_19_fg","regular_19_fg3","regular_19_reb","regular_19_ast","regular_19_game_date","regular_19_matchup","regular_20_name","regular_20_position","regular_20_min","regular_20_pts","regular_20_fg","regular_20_fg3","regular_20_reb","regular_20_ast","regular_20_game_date","regular_20_matchup","opponent_1_name","opponent_1_position","opponent_1_min","opponent_1_pts","opponent_1_fg","opponent_1_fg3","opponent_1_reb","opponent_1_ast","opponent_1_game_date","opponent_1_matchup","opponent_2_name","opponent_2_position","opponent_2_min","opponent_2_pts","opponent_2_fg","opponent_2_fg3","opponent_2_reb","opponent_2_ast","opponent_2_game_date","opponent_2_matchup","opponent_3_name","opponent_3_position","opponent_3_min","opponent_3_pts","opponent_3_fg","opponent_3_fg3","opponent_3_reb","opponent_3_ast","opponent_3_game_date","opponent_3_matchup","opponent_4_name","opponent_4_position","opponent_4_min","opponent_4_pts","opponent_4_fg","opponent_4_fg3","opponent_4_reb","opponent_4_ast","opponent_4_game_date","opponent_4_matchup","opponent_5_name","opponent_5_position","opponent_5_min","opponent_5_pts","opponent_5_fg","opponent_5_fg3","opponent_5_reb","opponent_5_ast","opponent_5_game_date","opponent_5_matchup","PotentialAssists","Matchup_Points.7","Matchup_Rebounds.7","Matchup_Assists.7","Matchup_3PM.7","Matchup_FG%.7","Matchup_Points.15","Matchup_Rebounds.15","Matchup_Assists.15","Matchup_3PM.15","Matchup_FG%.15","Matchup_Points.30","Matchup_Rebounds.30","Matchup_Assists.30","Matchup_3PM.30","Matchup_FG%.30"
"1","ATL","C","Mark Williams","ATL","CHO","ATL - CHO","CHO","Mark Williams","7","7","3-5","0-0","4","0","2022-10-28","CHO-ORL","Mark Williams","C","1","2","1-2","0-0","3","0","2022-10-23","CHO-ATL","Mark Williams","C","4","2","0-0","0-0","1","0","2022-10-20","CHO-SAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mark Williams","C","1","2","1-2","0-0","3","0","2022-10-23","CHO-ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.04,13.47,4.43,1.97,68.75,21.83,13.92,4.47,1.17,65.43,23.17,14.37,3.73,1.21,60.74
"2","ATL","C","Nick Richards","ATL","CHO","ATL - CHO","CHO","Nick Richards","19","3","0-0","0-0","3","1","2022-12-15","DET-CHO","Nick Richards","C","21","9","2-5","0-0","8","0","2022-12-11","CHO-PHI","Nick Richards","C","15","2","0-2","0-0","2","0","2022-12-10","NYK-CHO","Nick Richards","C","10","2","1-1","0-0","0","0","2022-12-08","CHO-BRK","Nick Richards","C","20","11","5-6","0-0","10","2","2022-12-06","LAC-CHO","Nick Richards","C","18","9","3-7","0-0","5","0","2022-12-03","MIL-CHO","Nick Richards","C","13","12","5-6","0-0","9","0","2022-12-03","WAS-CHO","Nick Richards","C","21","7","3-4","0-0","7","1","2022-11-29","CHO-BOS","Nick Richards","C","20","2","1-2","0-0","3","1","2022-11-25","MIN-CHO","Nick Richards","C","21","13","5-10","0-0","13","0","2022-11-24","PHI-CHO","Nick Richards","C","17","11","4-8","0-0","10","0","2022-11-20","CHO-WAS","Nick Richards","C","30","13","5-10","0-0","14","0","2022-11-19","CHO-CLE","Nick Richards","C","19","5","2-4","0-0","5","0","2022-11-17","IND-CHO","Nick Richards","C","15","6","2-2","0-0","2","1","2022-11-15","CHO-ORL","Nick Richards","C","21","15","6-7","0-0","5","0","2022-11-13","CHO-MIA","Nick Richards","C","14","10","4-4","0-0","4","0","2022-11-11","CHO-MIA","Nick Richards","C","15","6","2-3","0-0","2","0","2022-11-10","POR-CHO","Nick Richards","C","24","8","4-6","0-0","6","0","2022-11-08","WAS-CHO","Nick Richards","C","18","10","3-5","0-0","9","1","2022-11-05","BRK-CHO","Nick Richards","C","19","9","2-9","0-0","9","2","2022-11-05","CHO-MEM","Nick Richards","C","20","20","9-9","0-0","11","1","2022-10-23","CHO-ATL","Nick Richards","C","2","0","0-0","0-0","1","0","2022-01-24","ATL-CHO","Nick Richards","C","7","2","1-1","0-0","3","0","2021-12-05","CHO-ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.04,13.47,4.43,1.97,68.75,21.83,13.92,4.47,1.17,65.43,23.17,14.37,3.73,1.21,60.74
"3","ATL","C","Mason Plumlee","ATL","CHO","ATL - CHO","CHO","Mason Plumlee","34","12","5-8","0-0","18","3","2022-12-15","DET-CHO","Mason Plumlee","C","26","7","2-5","0-0","12","5","2022-12-11","CHO-PHI","Mason Plumlee","C","30","13","5-7","0-0","9","3","2022-12-10","NYK-CHO","Mason Plumlee","C","34","13","5-8","0-0","11","5","2022-12-08","CHO-BRK","Mason Plumlee","C","28","8","4-4","0-0","12","4","2022-12-06","LAC-CHO","Mason Plumlee","C","30","13","6-9","0-0","11","3","2022-12-03","MIL-CHO","Mason Plumlee","C","35","17","5-10","0-0","10","3","2022-12-03","WAS-CHO","Mason Plumlee","C","27","4","2-5","0-0","4","5","2022-11-29","CHO-BOS","Mason Plumlee","C","28","3","1-4","0-0","12","5","2022-11-25","MIN-CHO","Mason Plumlee","C","26","11","4-6","0-0","13","6","2022-11-24","PHI-CHO","Mason Plumlee","C","31","9","2-8","0-0","8","4","2022-11-20","CHO-WAS","Mason Plumlee","C","28","2","0-4","0-0","6","4","2022-11-19","CHO-CLE","Mason Plumlee","C","29","12","5-7","0-0","10","3","2022-11-17","IND-CHO","Mason Plumlee","C","31","18","8-9","0-0","10","2","2022-11-15","CHO-ORL","Mason Plumlee","C","27","9","4-6","0-0","5","5","2022-11-13","CHO-MIA","Mason Plumlee","C","39","13","4-4","0-0","15","5","2022-11-11","CHO-MIA","Mason Plumlee","C","32","16","7-10","0-0","12","4","2022-11-10","POR-CHO","Mason Plumlee","C","22","6","1-5","0-0","10","5","2022-11-08","WAS-CHO","Mason Plumlee","C","30","9","4-8","0-0","11","3","2022-11-05","BRK-CHO","Mason Plumlee","C","22","7","3-5","0-0","7","3","2022-11-05","CHO-MEM","Mason Plumlee","C","26","8","2-4","0-0","8","6","2022-10-23","CHO-ATL","Mason Plumlee","C","22","12","5-7","0-0","10","4","2022-03-16","ATL-CHO","Mason Plumlee","C","19","6","3-5","0-0","11","2","2022-01-24","ATL-CHO","Mason Plumlee","C","20","7","3-5","0-0","2","1","2021-11-21","CHO-ATL","Mason Plumlee","C","21","10","5-6","0-0","7","3","2021-04-26","ATL-DET",5.9,21.04,13.47,4.43,1.97,68.75,21.83,13.92,4.47,1.17,65.43,23.17,14.37,3.73,1.21,60.74
"4","ATL","F","JT Thor","ATL","CHO","ATL - CHO","CHO","JT Thor","2","0","0-1","0-1","0","0","2022-12-11","CHO-PHI","JT Thor","F","3","0","0-0","0-0","0","0","2022-12-10","NYK-CHO","JT Thor","F","8","0","0-0","0-0","2","0","2022-12-08","CHO-BRK","JT Thor","F","3","0","0-0","0-0","1","0","2022-11-17","IND-CHO","JT Thor","F","5","2","1-4","0-1","1","1","2022-11-13","CHO-MIA","JT Thor","F","3","0","0-1","0-0","0","0","2022-11-11","CHO-MIA","JT Thor","F","8","2","0-1","0-1","1","0","2022-11-10","POR-CHO","JT Thor","F","10","3","1-2","0-1","2","2","2022-11-08","WAS-CHO","JT Thor","F","16","3","1-4","1-3","4","1","2022-11-05","BRK-CHO","JT Thor","F","26","11","4-12","2-5","5","2","2022-11-05","CHO-MEM","JT Thor","F","13","4","2-4","0-1","2","1","2022-11-03","CHO-CHI","JT Thor","F","5","0","0-0","0-0","0","0","2022-10-31","SAC-CHO","JT Thor","F","9","3","0-0","0-0","3","0","2022-10-29","GSW-CHO","JT Thor","F","14","0","0-3","0-3","2","1","2022-10-28","CHO-ORL","JT Thor","F","9","2","1-2","0-1","1","0","2022-10-26","CHO-NYK","JT Thor","F","16","5","2-4","1-3","6","0","2022-10-23","CHO-ATL","JT Thor","F","8","0","0-1","0-1","1","0","2022-10-20","CHO-SAS","JT Thor","PF","3","0","0-0","0-0","1","0","2022-04-10","WAS-CHO","JT Thor","PF","6","0","0-0","0-0","2","0","2022-04-09","CHO-CHI","JT Thor","PF","5","1","0-1","0-1","0","1","2022-04-07","ORL-CHO","JT Thor","F","16","5","2-4","1-3","6","0","2022-10-23","CHO-ATL","JT Thor","PF","2","0","0-1","0-0","0","0","2022-01-24","ATL-CHO","JT Thor","PF","12","0","0-3","0-2","2","0","2021-12-05","CHO-ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ATL","PF","P.J. Washington","ATL","CHO","ATL - CHO","CHO","P.J. Washington","31","13","5-17","1-7","5","1","2022-12-15","DET-CHO","P.J. Washington","PF","35","4","2-12","0-4","4","3","2022-12-11","CHO-PHI","P.J. Washington","PF","22","10","5-12","0-3","5","1","2022-12-10","NYK-CHO","P.J. Washington","PF","30","12","5-13","1-4","5","7","2022-12-08","CHO-BRK","P.J. Washington","PF","34","26","11-21","4-10","4","4","2022-12-06","LAC-CHO","P.J. Washington","PF","33","0","0-13","0-3","8","5","2022-12-03","MIL-CHO","P.J. Washington","PF","38","21","6-15","5-11","3","5","2022-12-03","WAS-CHO","P.J. Washington","PF","26","16","5-9","3-5","2","2","2022-11-29","CHO-BOS","P.J. Washington","PF","20","16","6-13","1-5","3","0","2022-11-25","MIN-CHO","P.J. Washington","PF","34","19","8-14","3-5","6","3","2022-11-24","PHI-CHO","P.J. Washington","PF","34","13","5-14","2-6","5","1","2022-11-20","CHO-WAS","P.J. Washington","PF","46","28","10-20","2-10","10","4","2022-11-19","CHO-CLE","P.J. Washington","PF","36","24","7-16","4-9","4","4","2022-11-17","IND-CHO","P.J. Washington","PF","36","14","6-13","0-3","6","5","2022-11-15","CHO-ORL","P.J. Washington","PF","28","4","2-7","0-2","1","0","2022-11-13","CHO-MIA","P.J. Washington","PF","35","9","4-9","1-3","5","0","2022-11-11","CHO-MIA","P.J. Washington","PF","33","10","3-12","1-6","7","4","2022-11-10","POR-CHO","P.J. Washington","PF","30","25","11-18","2-6","4","0","2022-11-08","WAS-CHO","P.J. Washington","PF","34","18","5-11","3-6","3","2","2022-11-05","BRK-CHO","P.J. Washington","PF","27","10","2-15","1-7","4","0","2022-11-05","CHO-MEM","P.J. Washington","PF","22","12","4-8","2-4","3","1","2022-10-23","CHO-ATL","P.J. Washington","PF","26","16","6-10","2-4","1","3","2022-03-16","ATL-CHO","P.J. Washington","PF","31","12","4-7","2-4","7","4","2022-01-24","ATL-CHO","P.J. Washington","PF","38","13","4-9","1-4","11","1","2021-12-05","CHO-ATL","P.J. Washington","PF","24","8","3-7","2-5","2","3","2021-04-11","ATL-CHO",4.8,23.99,11.35,4.25,2.27,51.14,21.72,10.76,4.13,2.42,49.52,23.42,10.96,3.66,2.2,46.74
"6","ATL","PF","Kai Jones","ATL","CHO","ATL - CHO","CHO","Kai Jones","14","0","0-0","0-0","0","1","2022-12-15","DET-CHO","Kai Jones","PF","13","6","2-4","0-0","3","0","2022-12-11","CHO-PHI","Kai Jones","PF","20","4","2-4","0-1","4","0","2022-12-10","NYK-CHO","Kai Jones","PF","10","5","2-4","1-1","3","0","2022-12-08","CHO-BRK","Kai Jones","PF","14","2","1-2","0-0","5","1","2022-12-06","LAC-CHO","Kai Jones","PF","15","0","0-1","0-1","3","1","2022-12-03","MIL-CHO","Kai Jones","PF","10","0","0-3","0-1","0","0","2022-12-03","WAS-CHO","Kai Jones","PF","22","9","4-11","1-3","6","0","2022-11-29","CHO-BOS","Kai Jones","PF","28","9","3-5","0-0","12","0","2022-11-25","MIN-CHO","Kai Jones","PF","8","4","2-2","0-0","1","0","2022-11-24","PHI-CHO","Kai Jones","PF","8","4","2-4","0-0","1","0","2022-11-20","CHO-WAS","Kai Jones","PF","7","2","1-2","0-1","3","0","2022-11-19","CHO-CLE","Kai Jones","PF","2","0","0-0","0-0","0","0","2022-11-15","CHO-ORL","Kai Jones","PF","2","2","1-1","0-0","0","0","2022-11-13","CHO-MIA","Kai Jones","PF","7","0","0-1","0-0","1","0","2022-11-05","CHO-MEM","Kai Jones","PF","6","2","1-3","0-2","0","0","2022-11-03","CHO-CHI","Kai Jones","PF","6","4","1-1","0-0","0","2","2022-10-28","CHO-ORL","Kai Jones","PF","1","0","0-0","0-0","0","0","2022-10-23","CHO-ATL","Kai Jones","PF","4","3","1-1","1-1","0","0","2022-10-20","CHO-SAS","Kai Jones","PF","3","0","0-0","0-0","0","0","2022-04-10","WAS-CHO","Kai Jones","PF","1","0","0-0","0-0","0","0","2022-10-23","CHO-ATL","Kai Jones","PF","2","0","0-1","0-0","0","0","2022-01-24","ATL-CHO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.99,11.35,4.25,2.27,51.14,21.72,10.76,4.13,2.42,49.52,23.42,10.96,3.66,2.2,46.74
"7","ATL","PF","Jalen McDaniels","ATL","CHO","ATL - CHO","CHO","Jalen McDaniels","35","21","7-9","3-3","6","1","2022-12-15","DET-CHO","Jalen McDaniels","PF","31","15","6-13","1-4","5","3","2022-12-11","CHO-PHI","Jalen McDaniels","PF","21","4","1-5","0-2","4","3","2022-12-10","NYK-CHO","Jalen McDaniels","PF","36","19","8-14","1-4","7","3","2022-12-08","CHO-BRK","Jalen McDaniels","PF","34","9","3-8","0-4","4","6","2022-12-06","LAC-CHO","Jalen McDaniels","PF","33","21","8-15","2-5","5","2","2022-12-03","MIL-CHO","Jalen McDaniels","PF","25","9","3-9","1-4","5","1","2022-12-03","WAS-CHO","Jalen McDaniels","PF","30","24","9-12","4-6","1","2","2022-11-29","CHO-BOS","Jalen McDaniels","PF","31","8","3-9","0-3","6","3","2022-11-25","MIN-CHO","Jalen McDaniels","PF","21","11","4-8","1-4","3","1","2022-11-24","PHI-CHO","Jalen McDaniels","PF","21","8","3-10","2-5","6","1","2022-11-20","CHO-WAS","Jalen McDaniels","PF","23","2","0-2","0-2","2","1","2022-11-19","CHO-CLE","Jalen McDaniels","PF","20","3","1-5","0-2","4","4","2022-11-17","IND-CHO","Jalen McDaniels","PF","26","10","4-7","0-1","4","0","2022-11-15","CHO-ORL","Jalen McDaniels","PF","28","9","3-6","1-2","4","4","2022-11-13","CHO-MIA","Jalen McDaniels","PF","34","16","6-10","3-5","4","4","2022-11-11","CHO-MIA","Jalen McDaniels","PF","20","7","3-7","1-3","3","1","2022-11-10","POR-CHO","Jalen McDaniels","PF","27","9","4-9","1-4","7","1","2022-11-08","WAS-CHO","Jalen McDaniels","PF","28","6","3-7","0-3","6","3","2022-11-05","BRK-CHO","Jalen McDaniels","PF","21","4","1-5","0-4","1","2","2022-11-05","CHO-MEM","Jalen McDaniels","PF","20","9","3-6","1-3","5","3","2022-10-23","CHO-ATL","Jalen McDaniels","PF","14","2","1-3","0-1","1","0","2022-03-16","ATL-CHO","Jalen McDaniels","PF","18","3","1-3","1-3","3","1","2021-11-21","CHO-ATL","Jalen McDaniels","PF","29","9","4-7","1-2","3","2","2021-04-11","ATL-CHO","Jalen McDaniels","PF","28","11","4-8","1-3","4","1","2020-03-09","CHO-ATL",3.9,23.99,11.35,4.25,2.27,51.14,21.72,10.76,4.13,2.42,49.52,23.42,10.96,3.66,2.2,46.74
"8","ATL","PG","LaMelo Ball","ATL","CHO","ATL - CHO","CHO","LaMelo Ball","34","23","9-18","5-13","1","11","2022-12-15","DET-CHO","LaMelo Ball","PG","37","26","10-17","5-8","1","6","2022-11-17","IND-CHO","LaMelo Ball","PG","34","17","6-19","4-15","4","9","2022-11-15","CHO-ORL","LaMelo Ball","PG","28","15","6-17","1-9","6","6","2022-11-13","CHO-MIA","LaMelo Ball","PG","29","24","8-16","6-7","10","9","2022-04-10","WAS-CHO","LaMelo Ball","PG","29","24","8-16","5-9","5","9","2022-04-09","CHO-CHI","LaMelo Ball","PG","35","26","10-21","4-10","8","9","2022-04-07","ORL-CHO","LaMelo Ball","PG","34","18","7-13","4-9","5","14","2022-04-05","CHO-MIA","LaMelo Ball","PG","28","13","5-12","3-6","2","5","2022-04-02","CHO-PHI","LaMelo Ball","PG","37","20","8-18","1-8","5","15","2022-03-30","CHO-NYK","LaMelo Ball","PG","34","22","8-21","4-11","6","11","2022-03-28","DEN-CHO","LaMelo Ball","PG","37","33","10-21","7-12","7","9","2022-03-27","CHO-BRK","LaMelo Ball","PG","34","21","9-22","2-6","4","5","2022-03-25","UTA-CHO","LaMelo Ball","PG","39","32","13-23","6-14","9","5","2022-03-23","NYK-CHO","LaMelo Ball","PG","32","17","6-12","4-9","4","9","2022-03-21","NOP-CHO","LaMelo Ball","PG","30","17","6-12","5-8","4","7","2022-03-19","DAL-CHO","LaMelo Ball","PG","36","22","7-16","5-10","8","11","2022-03-16","ATL-CHO","LaMelo Ball","PG","30","21","6-13","5-8","5","7","2022-03-15","CHO-OKC","LaMelo Ball","PG","31","17","6-12","2-7","6","9","2022-03-12","CHO-NOP","LaMelo Ball","PG","28","15","6-12","0-4","8","4","2022-03-10","BOS-CHO","LaMelo Ball","PG","36","22","7-16","5-10","8","11","2022-03-16","ATL-CHO","LaMelo Ball","PG","34","19","6-17","0-8","6","4","2022-01-24","ATL-CHO","LaMelo Ball","PG","34","15","5-18","3-7","9","11","2021-11-21","CHO-ATL","LaMelo Ball","PG","31","22","9-13","3-5","12","11","2021-01-10","ATL-CHO","LaMelo Ball","PG","24","13","5-11","1-4","8","5","2021-01-07","CHO-ATL",12.5,25.92,7.15,9.15,2.93,47,23.57,6.21,8.98,2.27,43.59,21.76,6.26,8.45,2.31,43.74
"9","ATL","PG","Dennis Smith Jr.","ATL","CHO","ATL - CHO","CHO","Dennis Smith Jr.","11","2","1-3","0-0","0","2","2022-11-24","PHI-CHO","Dennis Smith Jr.","PG","25","6","3-6","0-2","2","3","2022-11-20","CHO-WAS","Dennis Smith Jr.","PG","34","12","6-9","0-3","2","8","2022-11-11","CHO-MIA","Dennis Smith Jr.","PG","33","13","6-12","1-2","2","4","2022-11-10","POR-CHO","Dennis Smith Jr.","PG","34","3","1-11","0-2","5","10","2022-11-08","WAS-CHO","Dennis Smith Jr.","PG","7","0","0-1","0-0","1","2","2022-11-05","BRK-CHO","Dennis Smith Jr.","PG","29","8","3-7","1-2","3","5","2022-11-05","CHO-MEM","Dennis Smith Jr.","PG","32","10","5-9","0-1","5","6","2022-11-03","CHO-CHI","Dennis Smith Jr.","PG","37","15","7-13","1-5","7","8","2022-10-31","SAC-CHO","Dennis Smith Jr.","PG","37","13","4-10","2-2","9","8","2022-10-29","GSW-CHO","Dennis Smith Jr.","PG","27","4","2-7","0-1","4","4","2022-10-28","CHO-ORL","Dennis Smith Jr.","PG","37","14","7-16","0-3","3","11","2022-10-26","CHO-NYK","Dennis Smith Jr.","PG","34","18","8-16","1-2","2","6","2022-10-23","CHO-ATL","Dennis Smith Jr.","PG","22","10","4-7","2-3","2","4","2022-10-21","NOP-CHO","Dennis Smith Jr.","PG","21","12","5-7","2-2","2","4","2022-10-20","CHO-SAS","Dennis Smith Jr.","PG","22","7","3-5","0-0","2","11","2022-02-10","LAL-POR","Dennis Smith Jr.","PG","20","3","0-4","0-0","3","2","2022-02-09","ORL-POR","Dennis Smith Jr.","PG","20","6","2-3","0-0","2","6","2022-02-06","MIL-POR","Dennis Smith Jr.","PG","16","6","3-7","0-0","3","3","2022-02-05","OKC-POR","Dennis Smith Jr.","PG","17","4","1-5","0-0","3","2","2022-02-03","POR-LAL","Dennis Smith Jr.","PG","34","18","8-16","1-2","2","6","2022-10-23","CHO-ATL","Dennis Smith Jr.","PG","12","3","1-4","1-2","1","3","2022-01-04","ATL-POR","Dennis Smith Jr.","PG","8","2","1-2","0-0","1","2","2020-02-09","NYK-ATL","Dennis Smith Jr.","PG","13","8","3-5","1-2","5","5","2019-12-18","ATL-NYK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,25.92,7.15,9.15,2.93,47,23.57,6.21,8.98,2.27,43.59,21.76,6.26,8.45,2.31,43.74
"10","ATL","SF","Cody Martin","ATL","CHO","ATL - CHO","CHO","Cody Martin","1","0","0-0","0-0","0","0","2022-10-20","CHO-SAS","Cody Martin","SF","24","5","1-3","0-1","5","3","2022-04-10","WAS-CHO","Cody Martin","SF","29","11","5-7","1-3","3","3","2022-04-09","CHO-CHI","Cody Martin","SF","22","7","3-3","1-1","4","1","2022-04-07","ORL-CHO","Cody Martin","SF","27","7","3-5","1-3","2","2","2022-04-05","CHO-MIA","Cody Martin","SF","24","8","4-6","0-1","4","5","2022-04-02","CHO-PHI","Cody Martin","SF","26","8","4-6","0-2","5","5","2022-03-30","CHO-NYK","Cody Martin","SF","17","0","0-3","0-0","0","1","2022-03-28","DEN-CHO","Cody Martin","SF","21","8","3-3","2-2","4","2","2022-03-27","CHO-BRK","Cody Martin","SF","25","2","1-3","0-2","5","2","2022-03-25","UTA-CHO","Cody Martin","SF","26","4","2-7","0-4","6","3","2022-03-23","NYK-CHO","Cody Martin","SF","29","4","2-2","0-0","5","4","2022-03-21","NOP-CHO","Cody Martin","SF","22","4","2-4","0-1","8","5","2022-03-19","DAL-CHO","Cody Martin","SF","26","0","0-2","0-2","5","2","2022-03-16","ATL-CHO","Cody Martin","SF","21","11","4-6","1-1","0","0","2022-03-15","CHO-OKC","Cody Martin","SF","28","15","6-7","1-2","5","4","2022-03-12","CHO-NOP","Cody Martin","SF","16","7","2-6","0-2","3","0","2022-03-10","BOS-CHO","Cody Martin","SF","24","8","2-6","2-4","1","1","2022-03-09","BRK-CHO","Cody Martin","SF","31","12","4-7","0-2","4","3","2022-03-06","SAS-CHO","Cody Martin","SF","33","8","2-5","2-4","2","2","2022-03-03","CHO-CLE","Cody Martin","SF","26","0","0-2","0-2","5","2","2022-03-16","ATL-CHO","Cody Martin","SF","29","7","3-5","1-1","3","2","2022-01-24","ATL-CHO","Cody Martin","SF","32","19","6-11","3-6","6","4","2021-12-05","CHO-ATL","Cody Martin","SF","31","14","6-11","2-4","8","0","2021-11-21","CHO-ATL","Cody Martin","SF","9","2","1-2","0-0","2","0","2021-04-11","ATL-CHO",NA,27.57,8.85,4.49,2.9,49.25,25.24,8.7,3.26,2.72,50,22.93,7.92,3.31,2.63,46.19
